kind,count,size_bytes,path_or_group,recommendation
exact-duplicate-skill-assets,14,9713,"mirrored `colors.csv` copies across `.agent`, `.claude`, `.codebuddy`, `.codex`, `.continue`, `.cursor`, `.gemini`, `.github/prompts`, `.kiro`, `.opencode`, `.qoder`, `.roo`, `.trae`, `.windsurf`","Keep only if each tool requires a local copy; otherwise consolidate behind one canonical source plus sync/export"
exact-duplicate-skill-assets,14,7654,"mirrored `charts.csv` copies across the same assistant/editor folders","Same review as above"
exact-duplicate-skill-assets,14,8195,"mirrored `jetpack-compose.csv` copies across the same assistant/editor folders","Same review as above"
exact-duplicate-skill-assets,14,5478,"mirrored `search.py` copies across the same assistant/editor folders","Same review as above"
exact-duplicate-skill-assets,14,0,"mirrored `core.py`, `design_system.py`, `astro.csv`, `flutter.csv`, `react-native.csv`, `web-interface.csv` and related `ui-ux-pro-max` assets","High-value consolidation candidate if mirrors are generated"
exact-duplicate-generated,2,61101,"`ds-bundle/_ds_bundle.css` and `packages/ui/.ds-build/luxor9-tailwind.css`","Delete one only if the duplicate is generated and reproducible"
exact-duplicate-generated,2,5029,"`packages/ui/test.html` and `packages/ui/src/index.html`","Review whether `test.html` is temporary or intentional"
exact-duplicate-generated,2,0,"`ds-bundle/_screenshots/general__AgentBuilder.png` and `ds-bundle/_screenshots/review/general__AgentBuilder.png`","Keep one copy if review folder is not needed"
exact-duplicate-generated,2,0,"`ds-bundle/_screenshots/general__AuditReportCard.png` and `ds-bundle/_screenshots/review/general__AuditReportCard.png`","Keep one copy if review folder is not needed"
exact-duplicate-generated,2,0,"`ds-bundle/_screenshots/general__MobileDashboard.png` and `ds-bundle/_screenshots/review/general__MobileDashboard.png`","Keep one copy if review folder is not needed"
exact-duplicate-generated,2,0,"`ds-bundle/_screenshots/general__TaskBoard.png` and `ds-bundle/_screenshots/review/general__TaskBoard.png`","Keep one copy if review folder is not needed"
cache-artifacts,69,1387480,"all `.pyc` files and `__pycache__/` directories in the repo","Safe cleanup candidate; Python regenerates these"
same-name-not-duplicate,5,0,"multiple `package.json` files in root and packages","Do not delete by name alone"
same-name-not-duplicate,4,0,"multiple `package-lock.json` files in root and subpackages","Do not delete by name alone"
same-name-not-duplicate,3,0,"multiple `index.html` files in different packages","Do not delete by name alone"
